,Feature
0,00 210
1,00 210 677
2,00 2708
3,00 2708 strong
4,000000 877
5,000000 877 566
6,000000 anil
7,000000 anil personal
8,000000 appreciate
9,000000 appreciate efforts
10,000000 help number
11,000000 like request
12,000000 select
13,000000 select billing
14,000000 shall
15,000000 shall provide
16,0002
17,0002 available
18,0002 available round
19,0002 feel
20,0002 feel free
21,0002 okay
22,0002 okay code
23,0002 strong
24,0002 strong br
25,0002 strong make
26,001 916
27,001 916 843
28,0019 provided
29,0019 provided direct
30,002 24
31,002 24 open
32,00531
33,00531 124290
34,00531 124290 strong
35,0065
36,0065 place
37,0065 place note
38,0065 representatives
39,0065 representatives available
40,0072
41,00ny
42,00ny contact
43,00ny contact 315
44,00pm
45,00pm et
46,00pm et called
47,00wdc
48,00wdc welcome
49,00wdc welcome 866
50,01 available
51,01 available sat
52,01022015 scheduled
53,01022015 scheduled time
54,01052015 collection
55,01052015 collection support
56,0106 pm
57,0106 pm okay
58,01062015 scheduled
59,01062015 scheduled time
60,0109however
61,0109however just
62,0109however just need
63,0111 0127
64,0111 0127 cancel
65,01112015 let
66,01112015 let check
67,011215 need
68,011215 need help
69,011315 just
70,011315 just future
71,01132015 scheduled
72,01132015 scheduled time
73,01142015 help
74,01142015 help correct
75,0115 check
76,0115 check status
77,0116 accounts
78,0116 accounts team
79,0116 process
80,0116 process complete
81,011615 assured
82,011615 assured services
83,011615 cancel
84,011615 cancel pending
85,01162014
86,01162014 received
87,01162014 received card
88,0117 work password
89,011715 wish
90,011715 wish extension
91,0118 authorizing
92,0118 authorizing cancel
93,011815 cable
94,011815 cable services
95,01182016
96,01182016 regarding
97,01182016 regarding situation
98,011915 021815
99,011915 021815 advice
100,01192015 wch
101,01192015 wch expires
102,0120 nit
103,0120 nit need
104,01242015 check
105,01242015 check calling
106,0126 account service
107,0126 restarted
108,0126 restarted service
109,0127 9am
110,0127 9am time
111,0127 cancel
112,0127 cancel cable
113,0127 cancel service
114,0129 cancel
115,0129 cancel service
116,012915 avoid
117,012915 avoid service
118,0131 contact
119,0131 contact team
120,0131 restore
121,0131 restore services
122,016
123,016 check
124,016 check provide
125,016 mon
126,016 mon fri
127,02 2015 wch
128,0203 make time
129,0210 avoid
130,0210 avoid disconnection
131,0218 available
132,0218 available et
133,021815
134,021815 advice
135,021815 advice cancel
136,0258
137,0258 strong
138,0258 strong convenience
139,0264
140,0264 ahead
141,0264 ahead document
142,0300
143,0300 ask
144,0300 ask customer
145,0300 monday
146,0300 monday saturday
147,0300 office
148,0300 office hours
149,032 6608
150,032 6608 arrange
151,0330
152,0330 726
153,0330 726 2677
154,0345
155,0345 257
156,0345 257 7271
157,0345 640
158,0345 640 0700
159,0345 640 2020
160,0345 640 3030
161,0345 6400
162,0345 6400 700
163,03456
164,03456 40
165,03456 40 2020
166,03456 400
167,03456 400 700
168,03456402020
169,03456403030
170,03456403030 transferred
171,03456403030 transferred right
172,0384
173,0384 new
174,0384 new secure
175,0402337213sim
176,0402337213sim only45
177,0402337213sim only45 plan
178,0419269861samsung
179,0419269861samsung s5
180,0419269861samsung s5 blue80
181,0434014810
182,0434014810 cancelled
183,0434014810 cancelled place
184,0447
185,0447 assist
186,0447 assist phone
187,0447 dont
188,0447 dont chat
189,0447 open
190,0447 open mondays
191,0451
192,0451 available
193,0451 available 24
194,0451 representative
195,0451 representative available
196,050
197,050 available
198,050 available monday
199,0500
200,0500 001
201,0500 001 916
202,0500 210
203,0500 210 352
204,0500 800
205,0500 800 255
206,0500 able
207,0500 able help
208,0500 assist
209,0500 assist inquiry
210,0500 assisted
211,0500 assisted faster
212,0500 best
213,0500 best team
214,0500 business
215,0500 business hours
216,0500 connect
217,0500 connect manager
218,0500 connected
219,0500 connected person
220,0500 convenience
221,0500 customer
222,0500 customer support
223,0500 direct
224,0500 direct number
225,0500 jeff
226,0500 mon
227,0500 mon sun
228,0500 monday
229,0500 monday friday
230,0500 monday sunday
231,0500 office
232,0500 office hours
233,0500 office open
234,0500 opt
235,0500 opt chat
236,0500 reach
237,0500 reach wireless
238,0500 send
239,0500 send link
240,0500 speak
241,0500 speak cell
242,0500 talk
243,0500 talk phone
244,0500 ts
245,0500 ts resolved
246,0500 visit
247,0500 visit wireless
248,0500 youd
249,0500 youd like
250,0500pm
251,0500pm pst
252,0500pm pst worry
253,0501
254,0501 office
255,0501 office open
256,0501 open
257,0501 open monday
258,0501 speak
259,0501 speak live
260,0501 specially
261,0501 specially equipped
262,0501 working
263,0501 working hours
264,0600
265,0600 800
266,0600 800 255
267,060415
268,060415 avoid
269,060415 avoid ts
270,060415 customers
271,060415 customers month
272,0644
273,0644 ask
274,0644 ask unite
275,0700
276,0700 happy
277,0700 happy help
278,0700 having
279,0700 having detailed
280,0700 having information
281,0700 help
282,0700 hours
283,0700 hours operation
284,0750
285,0750 10
286,0750 10 pm
287,0750 available
288,0750 available timings
289,0750 happy
290,0750 happy assist
291,0750the
292,0750the available
293,0750the available timings
294,0788
295,08 available
296,08 available day
297,0800
298,0800 00
299,0800 00 2708
300,0800 032
301,0800 032 6608
302,0800 100am
303,0800 100am eastern
304,0800 1900
305,0800 1900 aest
306,0800 2000
307,0800 2000 est
308,08192013
309,08192013 font
310,08192013 font thats
311,0830
312,0830 1730
313,0830 1730 est
314,0831
315,0831 stay
316,0831 stay online
317,0900
318,0900 212
319,0900 212 358
320,0900 ask
321,0900 ask automated
322,0900 br ok
323,0900 directly
324,0900 directly speak
325,0900 ill
326,0900 ill ahead
327,0900 make
328,0900 make detailed
329,0900 notate
330,0900 notate account
331,0900 okay
332,0900 okay great
333,0900 schedule
334,0900 schedule work
335,0900 special
336,0900 special department
337,0900 specialized
338,0900 specialized queue
339,0900 strong
340,0900 strong activate
341,0900 strong ask
342,0900 strong asking
343,0900 strong informed
344,0900 strong make
345,0900 strong provide
346,0900 strong request
347,0900 ts customer
348,09042013it
349,09042013it card
350,09042013it card lost
351,09162013
352,09162013 account
353,09162013 account restricted
354,0935
355,0935 strong
356,0935 strong account
357,0943
358,0972 access
359,0972 access code
360,0990
361,0990 br
362,0990 br able
363,0990 strong
364,0990 strong tll
365,0cn
366,0cn sorry
367,0cn sorry typo
368,0dig3
369,0dig3 dig
370,0dig3 dig support
371,10
372,10 10
373,10 10 mobile
374,10 11am 212
375,10 15 getting
376,10 1gb
377,10 1gb added
378,10 20 12
379,10 4pm
380,10 4pm local
381,10 4pm sorry
382,10 4pm worry
383,10 50mb
384,10 50mb day
385,10 apply
386,10 apply future
387,10 bundling
388,10 bundling discount
389,10 business
390,10 business days
391,10 care
392,10 care team
393,10 day
394,10 day unlimited
395,10 days iphone
396,10 discount
397,10 discount available
398,10 discount internet
399,10 discount month
400,10 discount post
401,10 downloading
402,10 downloading speed
403,10 mins
404,10 minutes help
405,10 mobile
406,10 mobile 10
407,10 mobile bundling
408,10 month request
409,10 pm
410,10 pm br
411,10 pm completely
412,10 pm days
413,10 pm et
414,10 pm heard
415,10 pm let
416,10 pm make
417,10 pm satisfaction
418,10 pm saturday
419,10 pm update
420,10 pm wait
421,10 pm word
422,10 pm worry
423,10 reward
424,10 reward reach
425,10 soon
426,10 soon want
427,10 trouble
428,10 trouble caused
429,10 working
430,10 working days
431,100
432,100 becasue
433,100 becasue says
434,100 credit order
435,100 data allowance
436,100 eastern
437,100 eastern time
438,100 est
439,100 est agent
440,100 et
441,100 included
442,100 included minutes
443,100 mbps
444,100 mbps bolt
445,100 pm
446,100 pm sunday
447,1000
448,1000 600
449,1000 600 pm
450,1000 pm
451,1000 pm eastern
452,1000 pm est
453,1000 pm et
454,1000 pm local
455,1000 pm sunday
456,1000563550741115
457,1000563550741115 job
458,1000563550741115 job id
459,1000760139941048
460,1000760139941048 job
461,1000760139941048 job id
462,1000pm
463,1000pm local
464,1000pm local time
465,1000pm saturday
466,1000pm saturday sunday
467,1001
468,1001 need
469,1001 need tpv
470,1002
471,1002 strong
472,1002 strong meanwle
473,1002 strong tll
474,1002 strong youre
475,100414
476,100414 services
477,100414 services ts
478,1006there
479,1006there little
480,1006there little ccup
481,10078
482,10078 including
483,10078 including tax
484,100am
485,100am eastern
486,100am eastern time
487,1014_hemettemeculapdf
488,1014_hemettemeculapdf channels
489,1014_hemettemeculapdf channels looking
490,10212014 1215
491,10212014 1215 increased
492,10303
493,10303 1001
494,10303 1001 need
495,10345 customer
496,10345 customer solution
497,1035
498,1035 assistance
499,1035 assistance activation
500,1040
501,1040 closing
502,1040 closing ts
503,10499 wch
504,10499 wch getting
505,1050am
506,1050am status
507,1050am status shows
508,10546
509,10546 immediately
510,10546 immediately contact
511,105pt
512,105pt 513
513,105pt 513 489
514,105pt 877
515,105pt 877 566
516,105pt account having
517,105pt accounts team
518,105pt add
519,105pt add note
520,105pt contact
521,105pt contact 513
522,105pt contact customer
523,105pt contact local
524,105pt contact number
525,105pt credit unavailability
526,105pt downgrading
527,105pt downgrading services
528,105pt free
529,105pt free premium
530,105pt general
531,105pt general support
532,105pt given span
533,105pt make calldirectly
534,105pt need number
535,105pt promotional offers
536,105pt provide credit
537,105pt request
538,105pt request required
539,105pt shall date
540,105pt strong refer
541,105pt truly
542,105pt truly understand
543,105pt ts number
544,105pt understand span
545,105pt update notes
546,105pt visit
547,105pt visit area
548,105pt worries ts
549,10768
550,1083
551,1083 specialist
552,1083 specialist able
553,1097
554,1097 mobile
555,1097 mobile trading
556,1099 nlor
557,1099 nlor visit
558,10a 7p
559,10a 7p 513
560,10am 7pm
561,10am 7pm sat
562,10am 7pm saturday
563,10am 8pm
564,10am 8pm make
565,10am till 7pm
566,10gb data removed
567,10gb data sent
568,10pm
569,10pm 9am
570,10pm 9am 7pm
571,10pm days
572,10pm days br
573,10pm days let
574,10pm days like
575,10pm days local
576,10pm days make
577,10pm days questions
578,10pm days satisfaction
579,10pm days team
580,10pm eastern
581,10pm eastern standard
582,10pm ill
583,10pm ill ahead
584,10pm local
585,10pm local time
586,10pm monthly
587,10pm monthly rate
588,10pm note
589,10pm note number
590,10pm sa
591,10pm sa su
592,10pm sat
593,10pm sat sun
594,10pm update
595,10pm update complete
596,10pt
597,10pt 800am
598,10pt 800am span
599,10pt 800am today
600,10pt 866
601,10pt 866 668
602,10pt access ts
603,10pt available
604,10pt contact
605,10pt contact 513
606,10pt contact 866
607,10pt contact 877
608,10pt dedicated
609,10pt dedicated team
610,10pt guys
611,10pt guys talk
612,10pt hawaii
613,10pt hawaii commercial
614,10pt hawaii residential
615,10pt let know
616,10pt provide phone
617,10pt request contact
618,10pt service
619,10pt service downgrade
620,10pt specialized
621,10pt specialized team
622,10pt technical
623,10pt technical issue
624,10pt thank
625,10pt today 800am
626,10pt welcome contact
627,10th ts
628,10th ts month
629,11 00pm
630,11 00pm et
631,11 12 technician
632,11 months whats
633,11 pm
634,11 pm ct
635,11 pm days
636,11 pm monday
637,1100
638,1100 pm
639,1100 pm est
640,1100pm
641,1100pm days
642,1100pm days week
643,1100pm est
644,1100pm est anytng
645,1100pm et
646,1100pm et able
647,1100pm et access
648,1100pm et addressed
649,1100pm et anytng
650,1100pm et application
651,1100pm et appreciate
652,1100pm et army
653,1100pm et assist
654,1100pm et assure
655,1100pm et assured
656,1100pm et called
657,1100pm et cancel
658,1100pm et care
659,1100pm et check
660,1100pm et credit
661,1100pm et edwin
662,1100pm et esther
663,1100pm et george
664,1100pm et glad
665,1100pm et guided
666,1100pm et hager
667,1100pm et happy
668,1100pm et havent
669,1100pm et help
670,1100pm et jessica
671,1100pm et jonathan
672,1100pm et just
673,1100pm et kendall
674,1100pm et lisa
675,1100pm et lo
676,1100pm et mehdi
677,1100pm et number
678,1100pm et order
679,1100pm et provided
680,1100pm et questions
681,1100pm et rahul
682,1100pm et request
683,1100pm et rest
684,1100pm et right
685,1100pm et robert
686,1100pm et scott
687,1100pm et sincerely
688,1100pm et sorry
689,1100pm et time
690,1100pm et toan
691,1100pm et toll
692,1100pm et ts
693,1100pm et unfortunately
694,1100pm et update
695,1100pm et wil
696,1100pm et worry
697,1100pm et youre
698,1112
699,1112 800
700,1112 800 677
701,1112 available
702,1112 available 247
703,1112 available hours
704,1112 just
705,1112 just need
706,1124 track
707,1124 track order
708,1125 wch time
709,114 1991
710,114 1991 charge
711,114 account
712,114 account active
713,1145
714,1145 open
715,1145 open 24
716,11498 handset
717,11498 handset repayment
718,115 entertainment
719,115 entertainment plan
720,115 plan
721,115 plan customer
722,115 reduce
723,115 reduce 1035
724,11519 make
725,11519 make partial
726,1157
727,1157 able
728,1157 able assist
729,1157 assist
730,1157 assist customer
731,1157 available
732,1157 available 247
733,1157 available 24x7
734,1157 available 24x7in
735,1157 br available
736,1157 dedicated
737,1157 dedicated tier
738,1157 digital
739,1157 digital phone
740,1157 going
741,1157 going reboot
742,1157 happy
743,1157 happy assist
744,1157 help
745,1157 help code
746,1157 help customer
747,1157 help deactivation
748,1157 help log
749,1157 help phone
750,1157 help required
751,1157 immediately
752,1157 immediately help
753,1157 let
754,1157 let know
755,1157 meanwle
756,1157 meanwle just
757,1157 number ts
758,1157 online
759,1157 online till
760,1157 provide
761,1157 provide customer
762,1157 stay online
763,1157 strong
764,1157 strong activate
765,1157 strong care
766,1157 strong confidential
767,1157 strong help
768,1157 strong hope
769,1157 strong im
770,1157 strong make
771,1157 strong note
772,1157 strong strong
773,1157 strong thank
774,1157 strong tng
775,1157 sure
776,1157 team assist
777,1157 twc
778,1157 twc home
779,1157 wait
780,1157 wait ahead
781,1157 waiting
782,1157 waiting response
783,11624month
784,11624month choose
785,11624month choose offer
786,11715 pm
787,11715 pm certainly
788,1195 contact
789,1195 contact customer
790,1196
791,1196 available
792,1196 available mon
793,11am 212
794,11am 212 358
795,11am 6pm address
796,11am 8pm
797,11am 8pm pst
798,11pm
799,11pm ct
800,11pm days
801,11pm days anytng
802,11pm days br
803,11pm days like
804,11pm days lowered
805,11pm days mention
806,11pm days resolve
807,11pm days restore
808,11pm days satisfaction
809,11pm days strong
810,11pm days tell
811,11pm est
812,11pm est 11am
813,11pm mon
814,11pm mon fri
815,11pm monday
816,11pm monday friday
817,11pm note
818,11pm note number
819,11pt agree
820,11pt agree span
821,11pt assured value
822,11pt cable
823,11pt cable service
824,11pt connected phone
825,11pt good offers
826,11pt need 8163588833
827,11pt order
828,11pt order activate
829,11pt phone
830,11pt phone support
831,11pt provide complete
832,11pt request
833,11pt request customer
834,11pt request required
835,11pt understand number
836,12 aest
837,12 aest weekdays
838,12 aest weekends
839,12 contact
840,12 contact time
841,12 hours services
842,12 months 38
843,12 months applicable
844,12 months guide
845,12 months taking
846,12 months unprecedented
847,12 pm aest
848,12 pm anytime
849,12 technician
850,12 technician prior
851,120 800
852,120 800 627
853,120 ali
854,120 box
855,120 box cable
856,1200 pm
857,1200 pm 1000
858,1200am
859,1200am midnight
860,1200am midnight et
861,1208
862,1208 315
863,1208 315 634
864,1208 800
865,1208 800 955
866,1208 available
867,1208 available 10
868,1208 or1
869,1208 or1 800
870,1211 payment
871,1211 payment 1212
872,12115 certainly
873,12115 certainly understand
874,1212 124
875,1212 124 ts
876,12142015
877,12142015 check
878,12142015 check local
879,1215 increased
880,1215 increased modem
881,1216 complete
882,1216 complete disconnection
883,1218 period
884,1218 period 1228
885,12215 10
886,12215 10 soon
887,1222 visit
888,1222 visit wwwdonotcallgov
889,1228 0127
890,1228 0127 cancel
891,1229 wle
892,1229 wle ordering
893,1234 1234
894,1234 1234 1234
895,1234 1234 number
896,1234 number
897,1234 number 16
898,124 ts
899,124 ts representative
900,124290
901,124290 strong
902,124290 strong available
903,12474 taxes 607
904,12614
905,12614 promotional
906,12614 promotional discount
907,128g
908,128g gray
909,128g gray maximum
910,128gb
911,128gb model
912,128gb model need
913,128gb sg
914,128gb stock
915,128gb stock need
916,12999 good triple
917,12999 lower
918,12999 lower available
919,12am
920,12am aest
921,12am aest weekends
922,12am days
923,12am days hope
924,12am days satisfaction
